First Name,Last Name,Team,Birth Date,position,ID,GP,GS,W,L,OTL,SO,GAA,GA,SA,SV,SV%,ESGA,ESSV%,ESSV,EVSA,PPGA,PPSV%,PPSV,PPSA,SHGA,SHSV%,SHSV,SHSA
Roberto,Luongo,FLA,1979-04-04,G,8466141,62,60,35,19,6,4,2.3487,141,1801,1660,0.9217,92,0.9365,1357,1449,46,0.8511,263,309,3,0.9302,40,43
Craig,Anderson,OTT,1981-05-21,G,8467950,60,60,31,23,5,4,2.7781,161,1915,1754,0.9159,121,0.9244,1480,1601,39,0.8621,244,283,1,0.9677,30,31
Ryan,Miller,VAN,1980-07-17,G,8468011,51,51,17,24,9,1,2.7008,137,1634,1497,0.9161,101,0.9249,1245,1346,32,0.8683,211,243,4,0.9111,41,45
Henrik,Lundqvist,NYR,1982-03-02,G,8468685,65,64,35,21,7,4,2.4812,156,1944,1788,0.9197,107,0.9339,1513,1620,46,0.8402,242,288,3,0.9166,33,36
Mike,Smith,ARI,1982-03-22,G,8469608,32,32,15,13,2,3,2.6347,77,921,844,0.9163,49,0.933,683,732,21,0.8687,139,160,7,0.7586,22,29
Cam,Ward,CAR,1984-02-29,G,8470320,52,51,23,17,10,1,2.4094,122,1343,1221,0.9091,97,0.916,1058,1155,22,0.8616,137,159,3,0.8965,26,29
Marc-Andre,Fleury,PIT,1984-11-28,G,8470594,58,58,35,17,6,5,2.2873,132,1665,1533,0.9207,100,0.9271,1272,1372,30,0.8804,221,251,2,0.9523,40,42
Corey,Crawford,CHI,1984-12-31,G,8470645,58,58,35,18,5,7,2.3655,131,1718,1587,0.9237,95,0.9327,1317,1412,36,0.8736,249,285,0,1.0,21,21
Jimmy,Howard,DET,1984-03-26,G,8470657,37,33,14,14,5,2,2.7965,92,979,887,0.906,70,0.9138,743,813,21,0.8531,122,143,1,0.9565,22,23
Jaroslav,Halak,NYI,1985-05-13,G,8470860,36,36,18,13,4,3,2.2953,80,984,904,0.9186,69,0.9189,782,851,10,0.9152,108,118,1,0.9333,14,15
Brian,Elliott,STL,1985-04-09,G,8470880,42,38,23,8,6,4,2.068,78,1113,1035,0.9299,58,0.9337,818,876,20,0.9061,193,213,0,1.0,24,24
Al,Montoya,FLA,1985-02-13,G,8471219,25,22,12,7,3,0,2.1757,49,608,559,0.9194,40,0.9204,463,503,8,0.913,84,92,1,0.923,12,13
Devan,Dubnyk,MIN,1986-05-04,G,8471227,67,66,32,26,6,5,2.3307,150,1829,1679,0.9179,107,0.9302,1427,1534,40,0.8425,214,254,3,0.9268,38,41
Cory,Schneider,NJD,1986-03-18,G,8471239,58,58,27,25,6,4,2.145,122,1597,1475,0.9236,87,0.9328,1208,1295,30,0.8837,228,258,5,0.8863,39,44
Thomas,Greiss,NYI,1986-01-29,G,8471306,41,38,23,11,4,1,2.3606,90,1197,1107,0.9248,67,0.9329,932,999,20,0.885,154,174,3,0.875,21,24
Pekka,Rinne,NSH,1982-11-03,G,8471469,66,66,34,21,10,4,2.4798,161,1744,1583,0.9076,121,0.9161,1322,1443,39,0.8522,225,264,1,0.9729,36,37
Tuukka,Rask,BOS,1987-03-10,G,8471695,64,62,31,22,8,4,2.5611,157,1854,1697,0.9153,119,0.9238,1443,1562,36,0.8577,217,253,2,0.9487,37,39
Jonathan,Quick,LAK,1986-01-21,G,8471734,68,68,40,23,5,5,2.2158,149,1820,1671,0.9181,105,0.9279,1353,1458,42,0.875,294,336,2,0.923,24,26
Ben,Bishop,TBL,1986-11-21,G,8471750,61,60,35,21,4,6,2.0587,123,1672,1549,0.9264,94,0.9309,1267,1361,25,0.9077,246,271,4,0.9,36,40
Chad,Johnson,BUF,1986-06-10,G,8473434,45,40,22,16,4,1,2.3619,102,1270,1168,0.9196,77,0.9263,969,1046,23,0.882,172,195,2,0.931,27,29
James,Reimer,TOR/ SJS,1988-03-15,G,8473503,40,37,17,14,7,3,2.3052,88,1128,1040,0.9219,59,0.9378,891,950,25,0.8333,125,150,4,0.8571,24,28
Jonathan,Bernier,TOR,1988-08-07,G,8473541,38,36,12,21,3,3,2.8787,103,1114,1011,0.9075,84,0.9104,854,938,15,0.8993,134,149,4,0.8518,23,27
Semyon,Varlamov,COL,1988-04-27,G,8473575,57,57,27,25,3,2,2.8106,148,1714,1566,0.9136,110,0.9227,1314,1424,34,0.8589,207,241,4,0.9183,45,49
Michal,Neuvirth,PHI,1988-03-23,G,8473607,32,29,18,8,4,3,2.2678,69,908,839,0.924,50,0.9304,669,719,17,0.8982,150,167,2,0.909,20,22
Scott,Darling,CHI,1988-12-22,G,8474152,29,24,12,8,4,1,2.5768,67,784,717,0.9145,56,0.915,603,659,9,0.9174,100,109,2,0.875,14,16
Antti,Niemi,DAL,1983-08-29,G,8474550,48,43,25,13,7,3,2.6672,118,1246,1128,0.9052,82,0.9213,961,1043,25,0.8538,146,171,11,0.6562,21,32
Jacob,Markstrom,VAN,1990-01-31,G,8474593,33,30,13,14,4,0,2.7281,84,988,904,0.9149,65,0.9191,739,804,15,0.9079,148,163,4,0.8095,17,21
Jake,Allen,STL,1990-08-07,G,8474596,47,44,26,15,3,6,2.3457,101,1260,1159,0.9198,76,0.9262,954,1030,21,0.8923,174,195,4,0.8857,31,35
Michael,Hutchinson,WPG,1990-03-02,G,8474636,30,25,9,15,3,0,2.8374,75,805,730,0.9068,59,0.9063,571,630,15,0.9044,142,157,1,0.9444,17,18
Braden,Holtby,WSH,1989-09-16,G,8474651,66,66,48,9,7,3,2.2024,141,1802,1661,0.9217,107,0.928,1381,1488,31,0.883,234,265,3,0.9387,46,49
Martin,Jones,SJS,1990-01-10,G,8474889,65,65,37,23,4,6,2.2663,143,1734,1591,0.9175,106,0.9254,1315,1421,34,0.8731,234,268,3,0.9333,42,45
